country,year,iso_code,population,gdp,primary_energy_consumption,electricity_generation,electricity_demand,renewables_share_energy,renewables_share_elec,fossil_share_energy,fossil_share_elec,low_carbon_share_energy,low_carbon_share_elec,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,biofuel_electricity,other_renewable_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,nuclear_share_elec,coal_share_elec,gas_share_elec,energy_per_capita,renewables_energy_per_capita,fossil_energy_per_capita,renewables_cons_change_twh
ASEAN (Ember),2000,,,,,378.76,378.76,,19.334,,80.666,,19.334,0.0,0.0,50.43,0.0,76.03,164.26,65.24,5.87,22.8,0.0,0.0,13.314,0.0,20.073,43.368,,,,
ASEAN (Ember),2001,,,,,405.09,405.09,,19.055,,80.945,,19.055,0.0,0.0,54.33,0.0,86.26,190.41,51.23,6.46,22.86,0.0,0.0,13.412,0.0,21.294,47.004,,,,
ASEAN (Ember),2002,,,,,433.19,433.19,,17.667,,82.333,,17.667,0.0,0.0,53.3,0.0,93.43,208.92,54.31,6.62,23.23,0.0,0.0,12.304,0.0,21.568,48.228,,,,
ASEAN (Ember),2003,,,,,458.3,458.3,,16.668,,83.332,,16.668,0.0,0.0,53.21,0.0,102.01,226.51,53.39,7.44,23.18,0.0,0.0,11.61,0.0,22.258,49.424,,,,
ASEAN (Ember),2004,,,,,496.61,496.61,,15.696,,84.304,,15.696,0.0,0.0,52.99,0.0,115.01,244.16,59.49,8.39,24.96,0.0,0.0,10.67,0.0,23.159,49.165,,,,
ASEAN (Ember),2005,,,,,522.68,522.68,,15.151,,84.849,,15.151,0.0,0.02,53.88,0.0,124.53,253.3,65.66,8.79,25.29,0.0,0.004,10.308,0.0,23.825,48.462,,,,
ASEAN (Ember),2006,,,,,547.17,547.17,,15.765,,84.235,,15.765,0.04,0.05,60.52,0.0,138.08,262.67,60.16,8.52,25.65,0.007,0.009,11.061,0.0,25.235,48.005,,,,
ASEAN (Ember),2007,,,,,578.98,578.98,,15.686,,84.314,,15.686,0.04,0.06,63.25,0.0,155.7,274.02,58.44,10.23,27.47,0.007,0.01,10.924,0.0,26.892,47.328,,,,
ASEAN (Ember),2008,,,,,603.96,603.96,,16.493,,83.507,,16.493,0.04,0.06,69.95,0.0,152.03,293.09,59.23,10.53,29.56,0.007,0.01,11.582,0.0,25.172,48.528,,,,
ASEAN (Ember),2009,,,,,624.57,624.57,,16.698,,83.302,,16.698,0.04,0.07,73.69,0.0,162.79,308.82,48.67,10.87,30.49,0.006,0.011,11.799,0.0,26.064,49.445,,,,
ASEAN (Ember),2010,,,,,686.86,686.86,,16.484,,83.516,,16.484,0.07,0.1,80.07,0.0,187.49,327.23,58.92,13.69,32.98,0.01,0.015,11.657,0.0,27.297,47.641,,,,
ASEAN (Ember),2011,,,,,717.07,717.07,,18.783,,81.217,,18.783,0.1,0.13,99.6,0.0,211.18,305.08,66.12,15.53,34.86,0.014,0.018,13.89,0.0,29.45,42.545,,,,
ASEAN (Ember),2012,,,,,776.57,776.57,,19.621,,80.379,,19.621,0.52,0.14,115.26,0.0,242.69,335.14,46.37,16.76,36.45,0.067,0.018,14.842,0.0,31.252,43.156,,,,
ASEAN (Ember),2013,,,,,816.74,816.74,,20.342,,79.658,,20.342,1.43,0.49,127.16,0.0,257.1,360.16,33.34,18.03,37.06,0.175,0.06,15.569,0.0,31.479,44.097,,,,
ASEAN (Ember),2014,,,,,863.97,863.97,,19.959,,80.041,,19.959,2.21,0.62,130.81,0.0,282.54,373.23,35.76,18.43,38.8,0.256,0.072,15.141,0.0,32.703,43.199,,,,
ASEAN (Ember),2015,,,,,907.23,907.23,,18.382,,81.618,,18.382,2.84,1.2,121.66,0.0,321.14,377.93,41.39,19.97,41.07,0.313,0.132,13.41,0.0,35.398,41.658,,,,
ASEAN (Ember),2016,,,,,969.34,969.34,,20.079,,79.921,,20.079,5.13,1.57,144.13,0.0,364.27,379.77,30.67,22.07,43.8,0.529,0.162,14.869,0.0,37.579,39.178,,,,
ASEAN (Ember),2017,,,,,1007.89,1007.89,,23.423,,76.577,,23.423,6.3,2.55,179.46,0.0,383.71,362.07,26.03,24.44,47.77,0.625,0.253,17.806,0.0,38.071,35.924,,,,
ASEAN (Ember),2018,,,,,1071.01,1071.01,,23.426,,76.574,,23.426,6.78,3.47,187.37,0.0,433.99,361.94,24.18,28.51,53.28,0.633,0.324,17.495,0.0,40.522,33.794,,,,
ASEAN (Ember),2019,,,,,1122.19,1122.19,,20.944,,79.056,,20.944,13.21,5.91,162.11,0.0,483.31,383.54,20.31,29.0,53.8,1.177,0.527,14.446,0.0,43.068,34.178,,,,
ASEAN (Ember),2020,,,,,1113.63,1113.63,,23.212,,76.788,,23.212,20.1,5.7,177.4,0.0,505.77,335.29,14.07,28.97,55.3,1.805,0.512,15.93,0.0,45.416,30.108,,,,
ASEAN (Ember),2021,,,,,1156.89,1156.89,,25.801,,74.199,,25.801,36.27,8.59,194.75,0.0,504.85,340.83,12.72,32.95,58.88,3.135,0.743,16.834,0.0,43.639,29.461,,,,
ASEAN (Ember),2022,,,,,1221.62,1221.62,,28.061,,71.939,,28.061,37.4,13.5,225.39,0.0,508.35,355.25,15.22,39.39,66.51,3.062,1.105,18.45,0.0,41.613,29.08,,,,
ASEAN (Ember),2023,,,,,1272.63,1272.63,,26.165,,73.835,,26.165,38.55,17.16,207.67,0.0,554.95,371.22,13.48,42.23,69.6,3.029,1.348,16.318,0.0,43.607,29.17,,,,
ASEAN (Ember),2024,,,,,1352.11,1352.11,,25.881,,74.119,,25.881,41.41,18.1,221.4,0.0,603.6,385.68,12.89,41.83,69.03,3.063,1.339,16.374,0.0,44.641,28.524,,,,
ASEAN (Ember),2025,,,,,1369.85,1369.85,,26.946,,73.054,,26.946,46.33,19.73,238.88,0.0,610.43,375.12,15.18,37.39,64.18,3.382,1.44,17.438,0.0,44.562,27.384,,,,
Afghanistan,2000,AFG,20130334.0,11283794151.0,5.288,0.48,0.57,,64.583,,35.417,,64.583,0.0,0.0,0.31,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,64.583,0.0,0.0,0.0,262.68,,,
Afghanistan,2001,AFG,20284303.0,11021272927.0,3.649,0.69,0.78,,72.464,,27.536,,72.464,0.0,0.0,0.5,0.0,0.04,0.0,0.15,0.0,0.0,0.0,0.0,72.464,0.0,5.797,0.0,179.892,,,
Afghanistan,2002,AFG,21378123.0,18804871508.0,3.328,0.71,0.81,,78.873,,21.127,,78.873,0.0,0.0,0.56,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,78.873,0.0,5.634,0.0,155.695,,,
Afghanistan,2003,AFG,22733053.0,21074343420.0,3.968,0.91,1.01,,69.231,,30.769,,69.231,0.0,0.0,0.63,0.0,0.09,0.0,0.19,0.0,0.0,0.0,0.0,69.231,0.0,9.89,0.0,174.558,,,
